YEARMODA,MAX,MIN,TEMP1,TEMP2
20240601,26.200000,18.400000,24.200000,23.200000
20240602,24.400000,17.100000,20.700000,24.200000
20240603,25.700000,15.200000,22.500000,23.100000
20240604,24.600000,15.700000,19.300000,24.600000
20240605,23.400000,12.800000,20.300000,23.200000
20240606,19.300000,13.600000,19.200000,14.900000
20240607,18.500000,9.200000,16.600000,17.500000
20240608,17.600000,8.900000,14.100000,17.000000
20240609,15.500000,11.300000,12.800000,15.400000
20240610,17.600000,8.200000,13.500000,17.600000
20240611,18.500000,10.500000,15.100000,17.800000
20240612,17.900000,11.100000,14.900000,17.500000
20240613,17.700000,11.500000,15.200000,17.700000
20240614,,11.500000,15.700000,18.100000
20240615,19.000000,9.000000,16.100000,18.900000
20240616,21.500000,14.000000,18.000000,20.200000
20240617,22.900000,15.400000,19.700000,20.600000
20240618,21.700000,14.700000,18.600000,21.400000
20240619,17.800000,12.800000,16.100000,16.800000
20240620,20.800000,13.200000,15.500000,20.500000
20240621,22.200000,11.500000,18.700000,22.100000
20240622,21.400000,10.800000,18.600000,20.900000
20240623,23.100000,11.600000,20.400000,22.500000
20240624,,16.700000,19.200000,21.000000
20240625,25.700000,12.300000,20.600000,25.000000
20240626,25.700000,15.900000,22.200000,25.500000
20240627,,15.300000,22.900000,26.900000
20240628,27.200000,17.000000,25.400000,27.200000
20240629,23.900000,16.600000,19.500000,22.000000
20240630,22.700000,14.200000,20.100000,21.100000
20240701,21.400000,16.800000,19.900000,19.900000
20240702,23.400000,14.000000,19.800000,23.400000
20240703,17.400000,13.100000,14.200000,16.600000
20240704,20.600000,13.500000,17.700000,20.200000
20240705,19.600000,14.000000,18.300000,19.000000
20240706,19.000000,11.300000,11.400000,18.700000
20240707,19.700000,15.000000,16.600000,18.500000
20240708,21.300000,13.800000,18.600000,21.300000
20240709,,13.000000,19.100000,22.500000
20240710,,12.500000,20.100000,22.000000
20240711,,17.000000,19.700000,20.900000
20240712,22.700000,17.200000,19.200000,22.200000
20240713,24.700000,16.300000,23.100000,24.500000
20240714,21.300000,17.300000,18.900000,20.100000
20240715,22.300000,14.900000,19.500000,22.000000
20240716,24.300000,15.400000,20.600000,24.300000
20240717,24.300000,17.900000,21.600000,23.500000
20240718,22.500000,16.900000,19.100000,22.500000
20240719,20.700000,16.100000,17.700000,20.000000
20240720,22.800000,16.100000,19.300000,19.900000
20240721,,16.700000,19.000000,20.700000
20240722,25.100000,16.900000,22.300000,24.700000
20240723,,19.500000,22.300000,24.900000
20240724,,20.200000,22.400000,24.200000
20240725,26.100000,18.500000,22.300000,26.100000
20240726,26.700000,17.900000,24.300000,26.400000
20240727,25.100000,,22.700000,24.800000
20240728,23.700000,,20.900000,23.600000
20240729,24.900000,,20.200000,24.900000
20240730,23.500000,17.600000,18.800000,22.700000
20240731,23.200000,14.600000,18.900000,21.400000
20240801,21.700000,13.700000,16.700000,21.000000
20240802,21.700000,14.700000,16.800000,21.700000
20240803,22.500000,14.900000,17.800000,18.300000
20240804,21.800000,15.300000,17.800000,19.900000
20240805,21.000000,15.000000,19.300000,19.600000
20240806,22.300000,16.600000,18.800000,22.300000
20240807,22.300000,13.300000,18.700000,21.300000
20240808,24.000000,14.200000,21.400000,23.900000
20240809,24.100000,17.100000,22.200000,24.100000
20240810,21.000000,16.500000,17.400000,21.000000
20240811,21.000000,14.000000,18.000000,15.200000
20240812,17.400000,12.700000,14.700000,16.000000
20240813,23.900000,12.200000,19.200000,23.400000
20240814,23.800000,13.900000,20.400000,23.800000
20240815,23.900000,14.300000,20.700000,23.900000
20240816,21.200000,18.300000,19.500000,20.900000
20240817,22.600000,16.900000,20.000000,21.400000
20240818,21.200000,12.500000,18.500000,21.200000
20240819,22.300000,15.100000,18.800000,22.300000
20240820,21.000000,10.400000,17.200000,20.900000
20240821,22.300000,16.000000,20.800000,20.600000
20240822,22.100000,,19.700000,20.800000
20240823,20.300000,13.000000,18.700000,18.200000
20240824,19.100000,15.400000,17.800000,18.600000
20240825,25.900000,14.400000,19.000000,25.900000
20240826,20.000000,14.500000,17.300000,19.700000
20240827,20.500000,15.300000,17.900000,20.400000
20240828,21.600000,14.200000,18.700000,21.300000
20240829,21.900000,,16.600000,21.800000
20240830,24.600000,16.000000,20.700000,23.500000
20240831,,13.700000,13.900000,18.700000
